Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 18:02:00.000 GMT+0100,06.01.2020 18:02:00,06.01.2020,18:02:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:03:00.000 GMT+0100,06.01.2020 18:03:00,06.01.2020,18:03:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:04:00.000 GMT+0100,06.01.2020 18:04:00,06.01.2020,18:04:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:05:00.000 GMT+0100,06.01.2020 18:05:00,06.01.2020,18:05:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:06:00.000 GMT+0100,06.01.2020 18:06:00,06.01.2020,18:06:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:07:00.000 GMT+0100,06.01.2020 18:07:00,06.01.2020,18:07:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:08:00.000 GMT+0100,06.01.2020 18:08:00,06.01.2020,18:08:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:09:00.000 GMT+0100,06.01.2020 18:09:00,06.01.2020,18:09:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:10:00.000 GMT+0100,06.01.2020 18:10:00,06.01.2020,18:10:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:11:00.000 GMT+0100,06.01.2020 18:11:00,06.01.2020,18:11:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:12:00.000 GMT+0100,06.01.2020 18:12:00,06.01.2020,18:12:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:13:00.000 GMT+0100,06.01.2020 18:13:00,06.01.2020,18:13:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:14:00.000 GMT+0100,06.01.2020 18:14:00,06.01.2020,18:14:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:15:00.000 GMT+0100,06.01.2020 18:15:00,06.01.2020,18:15:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:16:00.000 GMT+0100,06.01.2020 18:16:00,06.01.2020,18:16:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:17:00.000 GMT+0100,06.01.2020 18:17:00,06.01.2020,18:17:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:18:00.000 GMT+0100,06.01.2020 18:18:00,06.01.2020,18:18:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:19:00.000 GMT+0100,06.01.2020 18:19:00,06.01.2020,18:19:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:20:00.000 GMT+0100,06.01.2020 18:20:00,06.01.2020,18:20:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:21:00.000 GMT+0100,06.01.2020 18:21:00,06.01.2020,18:21:00,289.648,289.648,289.648,289.648,0
