Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 21:18:00.000 GMT+0100,06.01.2020 21:18:00,06.01.2020,21:18:00,13155.67,13156,13153.9,13154.69,0.0246
06.01.2020 21:19:00.000 GMT+0100,06.01.2020 21:19:00,06.01.2020,21:19:00,13154.88,13155.2,13152.39,13152.67,0.027
06.01.2020 21:20:00.000 GMT+0100,06.01.2020 21:20:00,06.01.2020,21:20:00,13152.89,13153.18,13151.69,13152.18,0.025
06.01.2020 21:21:00.000 GMT+0100,06.01.2020 21:21:00,06.01.2020,21:21:00,13151.9,13152.86,13151.9,13152.65,0.0171
06.01.2020 21:22:00.000 GMT+0100,06.01.2020 21:22:00,06.01.2020,21:22:00,13152.65,13154.2,13152.65,13153.67,0.02
06.01.2020 21:23:00.000 GMT+0100,06.01.2020 21:23:00,06.01.2020,21:23:00,13154.16,13156.8,13153.7,13156.16,0.0254
06.01.2020 21:24:00.000 GMT+0100,06.01.2020 21:24:00,06.01.2020,21:24:00,13156,13156.8,13155.69,13155.69,0.0214
06.01.2020 21:25:00.000 GMT+0100,06.01.2020 21:25:00,06.01.2020,21:25:00,13156.15,13156.7,13155.88,13156.7,0.0127
06.01.2020 21:26:00.000 GMT+0100,06.01.2020 21:26:00,06.01.2020,21:26:00,13156.3,13156.7,13155.38,13155.87,0.0139
06.01.2020 21:27:00.000 GMT+0100,06.01.2020 21:27:00,06.01.2020,21:27:00,13156.16,13156.16,13150.19,13150.19,0.0196
06.01.2020 21:28:00.000 GMT+0100,06.01.2020 21:28:00,06.01.2020,21:28:00,13149.7,13149.7,13145.39,13148.3,0.0352
06.01.2020 21:29:00.000 GMT+0100,06.01.2020 21:29:00,06.01.2020,21:29:00,13148.8,13149.35,13147.15,13147.8,0.0301
06.01.2020 21:30:00.000 GMT+0100,06.01.2020 21:30:00,06.01.2020,21:30:00,13148.65,13149.15,13146.18,13146.86,0.0375
06.01.2020 21:31:00.000 GMT+0100,06.01.2020 21:31:00,06.01.2020,21:31:00,13147.16,13148.8,13146.35,13146.69,0.0454
06.01.2020 21:32:00.000 GMT+0100,06.01.2020 21:32:00,06.01.2020,21:32:00,13147.3,13148.19,13146.15,13146.69,0.0205
06.01.2020 21:33:00.000 GMT+0100,06.01.2020 21:33:00,06.01.2020,21:33:00,13146.69,13148,13146.18,13146.9,0.0216
